Codigo;Nome completo;Unidade;Periodicidade;Inicio_dd/MM/aaaa;Ultimo_Valor;Desativada;Fonte;Especial
751;Operações de crédito com recursos livres referenciais para taxa de juros (base em índices de preços) - Vendor - Taxa contratual máxima;% a.d.;D;31/05/2000;31/12/2012;S;Sisbacen PESP300;N
1;Taxa de câmbio - Livre - Dólar americano (venda) - diário;u.m.c./US$;D;28/11/1984;16/10/2017;N;Sisbacen PTAX800;N
3;Taxa de câmbio - Flutuante - Dólar turismo - Venda;u.m.c./US$;D;27/05/1993;29/01/1999;S;Sisbacen PTAX800;N
4;Ouro BM&F - grama;u.m.c.;D;29/12/1989;13/10/2017;N;BM&FBOVESPA;N
5;Ouro Londres - onça troy;US$;D;29/12/1989;13/10/2017;N;LBMA;N
7;Bovespa - índice;Pontos;D;29/12/1989;13/10/2017;N;BM&FBOVESPA;N
8;Bovespa - Volume;R$ (milhões);D;29/12/1989;13/10/2017;N;BM&FBOVESPA;N
9;BVRJ - índice;Pontos;D;29/12/1989;08/05/2003;S;BVRJ;N
10;BVRJ - Volume;u.m.c. (mil);D;29/12/1989;10/08/2000;S;BVRJ;N
11;Taxa de juros - Selic;% a.d.;D;04/06/1986;16/10/2017;N;BCB-Demab;N
12;Taxa de juros - CDI;% a.d.;D;06/03/1986;13/10/2017;N;Cetip;N
13;Unidade real de valor (URV);u.m.c.;D;04/01/1993;30/06/1994;S;Sisbacen PTAX860;N
14;Depósitos a prazo (CDB/RDB-pré-fixados) - Rentabilidade diária (%);% a.d.;D;28/02/1992;06/10/2017;N;Sisbacen PESP300;N
15;Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos;u.m.c. (mil);D;28/02/1992;06/10/2017;N;Sisbacen PESP300;N
16;Depósitos a prazo (CDB/RDB-pré-fixados) - Dias corridos em período de 30/35 dias;Dias;D;29/12/1989;16/10/2017;N;Sisbacen PESP300;N
17;Depósitos a prazo (CDB/RDB-pré-fixados) - Dias úteis em período de 30/35 dias;Dias;D;29/12/1989;16/10/2017;N;Sisbacen PESP300;N
18;Depósitos a prazo (CDB/RDB-pós-fixados) - Rentabilidade diária (%);% a.d.;D;28/02/1992;06/10/2017;N;Sisbacen PESP300;N
19;Depósitos a prazo (CDB/RDB-pós-fixados) - Saldos;u.m.c. (mil);D;28/02/1992;06/10/2017;N;Sisbacen PESP300;N
20;Depósitos a prazo (CDB/RDB-pós-fixados) - Dias corridos em período de 120/125 dias;Dias;D;29/12/1989;16/10/2017;N;Sisbacen PESP300;N
21;Depósitos a prazo (CDB/RDB-pós-fixados) - Dias úteis em período de 120/125 dias;Dias;D;29/12/1989;16/10/2017;N;Sisbacen PESP300;N
22;BTN/UFIR diária;A definir;D;15/06/1989;29/05/1998;S;Sisbacen PTAX860;N
23;Poupança SBPE e rural - Saldos;u.m.c. (mil);D;22/08/1991;09/10/2017;N;Sisbacen PESP300;N
24;Poupança SBPE e rural - Captação líquida;u.m.c. (mil);D;02/08/1991;09/10/2017;N;Sisbacen PESP300;N
25;Depósitos de poupança até 03.05.2012 - Rentabilidade no período;% a.m.;D;01/02/1991;13/10/2017;N;Sisbacen PESP300;S
26;Depósitos a prazo (CDB/RDB-pré-fixados) - Taxa das instituições financeiras;% a.d.;D;28/02/1992;06/10/2017;N;Sisbacen PESP300;N
27;Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos das instituições financeiras;u.m.c. (mil);D;28/02/1992;06/10/2017;N;Sisbacen PESP300;N
28;Depósitos a prazo (CDB/RDB-pré-fixados) - Taxa para investidores institucionais;% a.d.;D;28/02/1992;06/10/2017;N;Sisbacen PESP300;N
29;Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos de investidores institucionais;u.m.c. (mil);D;28/02/1992;06/10/2017;N;Sisbacen PESP300;N
30;Depósitos a prazo (CDB/RDB-pré-fixados) - Taxa para pessoas jurídicas;% a.d.;D;28/02/1992;06/10/2017;N;Sisbacen PESP300;N
31;Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos de pessoas jurídicas;u.m.c. (mil);D;28/02/1992;06/10/2017;N;Sisbacen PESP300;N
31;Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos de pessoas jurídicas;u.m.c. (mil);D;28/02/1992;06/10/2017;N;Sisbacen PESP300;N
32;Depósitos a prazo (CDB/RDB-pré-fixados) - Taxa para pessoas físicas (%);% a.d.;D;28/02/1992;06/10/2017;N;Sisbacen PESP300;N
33;Depósitos a prazo (CDB/RDB-pré-fixados) - Saldos de pessoas físicas;u.m.c. (mil);D;28/02/1992;06/10/2017;N;Sisbacen PESP300;N
34;Depósitos a prazo (CDB/RDB-pós-fixados) - Taxa das instituições financeiras;% a.d.;D;28/02/1992;06/10/2017;N;Sisbacen PESP300;N
35;Depósitos a prazo (CDB/RDB-pós-fixados) - Saldos das instituições financeiras;u.m.c. (mil);D;28/02/1992;06/10/2017;N;Sisbacen PESP300;N
